SITE,DOY,CONST,MP1,MP2,MP5,SMP1,SMP2,SMP5,SGF,SMW,SIOD
bart,167,G,0.2744,0.3144,0.2254,24 / 25009,36 / 25009,4 / 14034,16 / 25009,67 / 25009,"23 / 25009
"
bart,167,R,0.4161,0.2396,0,24 / 15830,17 / 15830,0 /     0,3 / 15830,40 / 15830,"9 / 15830
"
bart,167,E,0.2591,0.2648,0.2415,13 / 18315,7 / 18308,15 / 18276,9 / 18315,57 / 18315,"9 / 18315
"
bart,167,J,0.3047,0.2519,0.1994,1035 /  8951,1033 /  8906,1033 /  8949,1033 /  8951,18 /  8951,"1033 /  8951
"
bart,167,C,0.3153,0.2394,0.2311,406 / 50833,487 / 25109,16 / 25724,25 / 50833,198 / 50833,"247 / 50833
"
bart,168,G,0.2772,0.3241,0.2327,30 / 25072,36 / 25070,4 / 14085,22 / 25072,91 / 25072,"27 / 25072
"
bart,168,R,0.4081,0.2370,0,21 / 15698,18 / 15698,0 /     0,8 / 15698,43 / 15698,"14 / 15698
"
bart,168,E,0.2643,0.2606,0.2367,12 / 19023,7 / 19022,11 / 19002,4 / 19023,44 / 19023,"5 / 19023
"
bart,168,J,0.3011,0.2519,0.2033,1032 /  8744,1031 /  8728,1033 /  8744,1030 /  8744,23 /  8744,"1031 /  8744
"
bart,168,C,0.3121,0.2340,0.2389,402 / 52131,444 / 26202,20 / 25929,26 / 52131,209 / 52131,"245 / 52131
"
bart,169,G,0.2764,0.3269,0.2385,27 / 24943,35 / 24936,5 / 14044,17 / 24943,99 / 24943,"24 / 24943
"
bart,169,R,0.4157,0.2446,0,6 / 15306,3 / 15306,0 /     0,3 / 15306,36 / 15306,"4 / 15306
"
bart,169,E,0.2595,0.2679,0.2440,14 / 18722,5 / 18705,14 / 18707,5 / 18722,68 / 18722,"5 / 18722
"
bart,169,J,0.3128,0.2544,0.2018,1001 /  8884,1002 /  8883,1002 /  8875,1000 /  8884,24 /  8884,"1000 /  8884
"
bart,169,C,0.3163,0.2455,0.2410,427 / 51983,484 / 26318,18 / 25665,34 / 51983,182 / 51983,"221 / 51983
"
bart,170,G,0.2717,0.3294,0.2390,23 / 25081,33 / 25076,5 / 14095,15 / 25081,70 / 25081,"21 / 25081
"
bart,170,R,0.4119,0.2368,0,11 / 14960,8 / 14960,0 /     0,2 / 14960,42 / 14960,"4 / 14960
"
bart,170,E,0.2677,0.2734,0.2499,13 / 18060,2 / 18047,8 / 18034,0 / 18060,78 / 18060,"0 / 18060
"
bart,170,J,0.3075,0.2723,0.2120,971 /  8892,963 /  8874,961 /  8892,961 /  8892,29 /  8892,"961 /  8892
"
bart,170,C,0.3140,0.2427,0.2382,354 / 52554,431 / 26429,13 / 26125,30 / 52554,222 / 52554,"205 / 52554
"
